TransactionId,Date,Amount,AccountId
0,8/21,-83.63,axz
1,9/22,-99.64,axz
2,11/6,34.50,axz
3,6/20,75.76,axz
4,9/13,44.05,axz
5,8/26,96.58,axz
6,10/21,1.42,axz
7,9/25,-2.56,axz
8,3/7,28.09,axz
9,6/24,31.72,axz
10,10/22,48.81,axz
11,3/24,-8.02,axz
12,2/18,55.36,axz
13,2/14,-20.20,axz
14,2/3,-98.83,axz
15,9/23,-45.19,axz
16,5/6,0.92,axz
17,12/13,-84.33,axz
18,2/9,-73.26,axz
19,6/20,93.76,axz
20,9/6,50.15,axz
21,9/3,-55.58,axz
22,5/24,-12.07,axz
23,4/28,70.32,axz
24,6/28,-80.91,axz
25,3/17,34.47,axz
26,12/21,15.28,axz
27,11/7,-21.01,axz
28,1/20,-34.35,axz
29,4/27,-62.45,axz
30,5/7,-62.42,axz
31,8/1,-3.68,axz
32,3/21,-11.56,axz
33,5/11,-25.43,axz
34,10/20,94.10,axz
35,11/15,82.28,axz
36,6/6,59.59,axz
37,7/26,39.91,axz
38,8/13,-10.51,axz
39,4/17,-89.92,axz
40,12/28,-33.49,axz
41,7/12,-61.62,axz
42,12/7,13.60,axz
43,9/2,66.72,axz
44,10/16,33.88,axz
45,10/19,40.48,axz
46,8/2,-30.05,axz
47,3/7,-27.12,axz
48,5/14,53.52,axz
49,9/11,-63.71,axz
50,6/19,62.04,axz
51,1/9,-35.58,axz
52,1/1,21.17,axz
53,3/2,-59.98,axz
54,6/2,72.47,axz
55,3/21,-77.31,axz
56,4/11,-56.83,axz
57,4/20,-32.54,axz
58,10/18,-25.14,axz
59,8/27,42.16,axz
60,9/16,40.89,axz
61,6/24,-74.01,axz
62,3/9,-69.85,axz
63,9/12,-58.98,axz
64,5/21,57.34,axz
65,11/27,-59.70,axz
66,6/9,7.99,axz
67,3/12,13.07,axz
68,2/8,94.30,axz
69,2/19,54.79,axz
70,12/24,-4.09,axz
71,7/16,-45.34,axz
72,4/28,37.25,axz
73,8/21,-12.03,axz
74,11/11,2.98,axz
75,3/1,23.29,axz
76,11/22,-85.99,axz
77,3/24,6.53,axz
78,5/4,-55.24,axz
79,6/23,0.71,axz
80,11/16,34.88,axz
81,4/25,-43.75,axz
82,6/5,-75.41,axz
83,8/2,45.39,axz
84,3/14,-76.47,axz
85,2/21,46.47,axz
86,9/18,-88.26,axz
87,9/1,-19.12,axz
88,12/22,56.97,axz
89,11/3,55.03,axz
90,9/16,84.69,axz
91,9/3,48.50,axz
92,3/14,81.13,axz
93,7/21,-12.16,axz
94,7/21,85.20,axz
95,7/7,53.66,axz
96,6/6,91.86,axz
97,3/10,18.22,axz
98,6/18,64.24,axz
99,2/9,96.06,axz
100,7/27,7.29,axz
101,11/5,4.68,axz
102,8/5,-45.49,axz
103,8/9,-41.19,axz
104,9/27,-39.58,axz
105,9/18,-37.40,axz
106,10/16,23.00,axz
107,8/10,2.25,axz
108,10/13,2.33,axz
109,4/2,-27.44,axz
110,10/10,-57.07,axz
111,11/9,-88.31,axz
112,10/1,78.04,axz
113,11/15,-28.84,axz
114,2/27,-71.31,axz
115,5/19,-87.94,axz
116,10/4,55.12,axz
117,1/18,38.38,axz
118,2/19,19.52,axz
119,4/27,31.09,axz
120,9/18,78.62,axz
121,1/11,-38.24,axz
122,12/19,80.68,axz
123,1/12,25.74,axz
124,5/27,79.60,axz
125,11/22,1.05,axz
126,4/9,-2.80,axz
127,10/1,-67.69,axz
128,8/22,56.85,axz
129,4/26,64.20,axz
130,5/3,-35.39,axz
131,4/22,74.83,axz
132,2/11,8.16,axz
133,7/8,61.71,axz
134,11/18,63.98,axz
135,2/28,2.90,axz
136,2/26,49.56,axz
137,7/2,-22.44,axz
138,2/12,-26.96,axz
139,8/5,87.93,axz
140,10/25,-44.67,axz
141,10/10,41.82,axz
142,6/1,77.51,axz
143,2/8,33.70,axz
144,9/1,30.03,axz
145,6/19,-10.35,axz
146,10/14,90.03,axz
147,7/1,-19.53,axz
148,2/18,51.01,axz
149,9/13,24.38,axz
150,4/26,90.81,axz
151,1/27,-26.47,axz
152,12/23,-36.90,axz
153,2/5,40.63,axz
154,3/9,45.45,axz
155,7/12,79.24,axz
156,8/10,-32.38,axz
157,3/9,-72.91,axz
158,6/8,-12.07,axz
159,4/10,49.25,axz
160,5/24,-21.53,axz
161,11/25,25.00,axz
162,11/26,-64.29,axz
163,2/10,80.99,axz
164,5/4,-35.25,axz
165,6/16,47.41,axz
166,12/17,23.58,axz
167,5/9,69.28,axz
168,9/7,-27.27,axz
169,3/13,-62.70,axz
170,2/2,-19.71,axz
171,4/17,-54.42,axz
172,5/7,8.12,axz
173,11/14,24.55,axz
174,1/18,44.37,axz
175,12/15,41.08,axz
176,5/19,6.65,axz
177,8/22,91.37,axz
178,2/1,12.11,axz
179,2/9,54.37,axz
180,10/26,-99.33,axz
181,12/3,23.87,axz
182,2/18,2.15,axz
183,6/13,49.68,axz
184,9/10,-31.49,axz
185,2/4,81.24,axz
186,3/6,-3.61,axz
187,1/23,39.71,axz
188,7/27,-27.22,axz
189,1/25,-12.82,axz
190,5/26,71.60,axz
191,12/4,83.45,axz
192,12/22,17.86,axz
193,8/7,68.99,axz
194,2/13,97.79,axz
195,5/2,-15.47,axz
196,4/4,35.18,axz
197,1/26,5.96,axz
198,7/19,28.00,axz
199,5/23,-34.32,axz
200,8/19,45.82,axz
201,12/15,-89.33,axz
202,11/20,-68.92,axz
203,9/20,47.11,axz
204,11/10,92.63,axz
205,11/9,-51.70,axz
206,5/15,74.30,axz
207,3/2,79.99,axz
208,2/15,-63.71,axz
209,9/24,-67.61,axz
210,4/21,45.53,axz
211,10/26,42.00,axz
212,9/4,1.20,axz
213,3/1,53.27,axz
214,5/12,81.49,axz
215,12/14,-82.07,axz
216,12/16,-32.98,axz
217,9/12,-73.41,axz
218,11/13,77.49,axz
219,7/13,-53.36,axz
220,11/2,-28.41,axz
221,7/20,16.57,axz
222,11/16,45.43,axz
223,5/21,-70.89,axz
224,8/25,52.51,axz
225,9/13,96.66,axz
226,11/24,70.36,axz
227,12/27,-91.85,axz
228,5/16,-30.69,axz
229,1/4,99.73,axz
230,10/23,-79.98,axz
231,8/9,-25.18,axz
232,9/5,59.93,axz
233,10/7,-42.67,axz
234,10/27,64.40,axz
235,9/1,42.48,axz
236,10/20,59.07,axz
237,4/20,-37.94,axz
238,10/16,-84.96,axz
239,9/15,61.48,axz
240,1/24,-38.76,axz
241,1/6,-73.95,axz
242,6/14,-67.64,axz
243,8/6,17.71,axz
244,1/6,79.60,axz
245,6/10,-58.70,axz
246,5/6,-22.41,axz
247,5/11,19.76,axz
248,6/26,78.36,axz
249,10/10,65.37,axz
250,6/28,-60.62,axz
251,7/2,75.98,axz
252,6/6,-62.63,axz
253,10/3,-23.85,axz
254,2/17,-44.17,axz
255,5/4,37.45,axz
256,1/26,-56.25,axz
257,3/21,33.91,axz
258,3/8,49.33,axz
259,10/13,74.62,axz
260,8/12,-37.00,axz
261,9/13,-46.28,axz
262,1/17,-8.84,axz
263,3/8,-15.10,axz
264,8/28,59.51,axz
265,9/12,42.53,axz
266,1/12,52.51,axz
267,9/24,2.49,axz
268,2/28,-11.32,axz
269,8/10,41.43,axz
270,1/19,-58.02,axz
271,9/6,-99.13,axz
272,12/21,-61.70,axz
273,3/8,-91.02,axz
274,6/23,-65.52,axz
275,4/3,43.78,axz
276,11/21,34.79,axz
277,6/2,-62.33,axz
278,1/23,90.96,axz
279,2/14,32.54,axz
280,9/21,-20.34,axz
281,9/3,14.06,axz
282,1/18,-21.57,axz
283,10/1,51.66,axz
284,1/28,-70.98,axz
285,6/23,-74.17,axz
286,4/24,-14.46,axz
287,10/10,87.53,axz
288,1/23,-63.18,axz
289,6/16,-73.96,axz
290,5/17,4.50,axz
291,3/15,-64.25,axz
292,12/22,75.87,axz
293,7/6,74.99,axz
294,4/3,-83.93,axz
295,9/22,-97.25,axz
296,5/5,-33.34,axz
297,7/5,-77.25,axz
298,2/9,-8.47,axz
299,7/2,97.50,axz
300,12/14,59.81,axz
301,7/19,82.82,axz
302,12/16,65.52,axz
303,11/6,-23.22,axz
304,3/11,-27.98,axz
305,7/7,-89.08,axz
306,9/26,34.17,axz
307,6/17,-66.37,axz
308,12/14,-14.25,axz
309,10/21,-88.54,axz
310,6/8,-31.23,axz
311,12/20,-31.75,axz
312,5/18,45.70,axz
313,4/10,27.32,axz
314,9/2,38.14,axz
315,10/20,49.38,axz
316,4/2,-68.65,axz
317,9/2,0.77,axz
318,12/14,-18.53,axz
319,7/22,32.36,axz
320,7/3,52.66,axz
321,7/11,-2.65,axz
322,12/16,-10.38,axz
323,1/21,-95.70,axz
