TransactionId,Date,Amount,AccountId
0,4/23,-86.11,acc1
1,5/20,-72.08,acc1
2,6/21,-55.09,acc1
3,12/26,-82.18,acc1
4,7/20,64.07,acc1
5,9/14,6.79,acc1
6,2/5,-2.69,acc1
7,7/28,36.22,acc1
8,11/13,21.61,acc1
9,2/3,11.39,acc1
10,1/24,-61.75,acc1
11,7/24,-18.55,acc1
12,12/25,-6.15,acc1
13,8/12,-12.53,acc1
14,11/17,32.50,acc1
15,1/28,83.10,acc1
16,5/15,24.57,acc1
17,6/28,14.76,acc1
18,8/9,95.93,acc1
19,8/24,-21.74,acc1
20,10/13,13.63,acc1
21,12/25,72.77,acc1
22,3/19,-74.36,acc1
23,4/18,-54.45,acc1
24,5/12,75.02,acc1
25,5/6,-15.97,acc1
26,10/6,22.72,acc1
27,3/7,82.20,acc1
28,5/14,83.04,acc1
29,8/24,99.38,acc1
30,1/22,-19.92,acc1
31,2/4,-8.22,acc1
32,10/17,39.49,acc1
33,3/22,34.24,acc1
34,11/28,40.42,acc1
35,6/13,12.62,acc1
36,10/4,29.81,acc1
37,11/16,41.29,acc1
38,12/21,51.75,acc1
39,4/20,-1.30,acc1
40,6/4,14.43,acc1
41,8/18,-79.16,acc1
42,5/13,-11.24,acc1
43,9/25,-92.19,acc1
44,4/19,-27.07,acc1
45,6/2,0.65,acc1
46,3/20,-6.97,acc1
47,7/9,-40.22,acc1
48,2/19,-12.07,acc1
49,11/19,-41.05,acc1
50,9/10,32.46,acc1
51,6/23,-97.74,acc1
52,8/19,27.66,acc1
53,7/25,51.54,acc1
54,5/3,-49.37,acc1
55,3/28,26.90,acc1
56,2/22,-4.50,acc1
57,11/15,33.88,acc1
58,2/4,-20.32,acc1
59,1/3,23.47,acc1
60,3/15,-61.54,acc1
61,6/6,96.45,acc1
62,5/13,16.94,acc1
63,11/25,56.52,acc1
64,2/10,-94.29,acc1
65,9/5,-21.99,acc1
66,7/14,-74.32,acc1
67,11/20,58.75,acc1
68,5/11,77.81,acc1
69,6/6,-53.17,acc1
70,11/7,97.02,acc1
71,9/13,-42.85,acc1
72,7/10,-10.42,acc1
73,5/28,91.38,acc1
74,7/11,61.83,acc1
75,11/22,26.53,acc1
76,9/27,-19.39,acc1
77,7/6,-58.01,acc1
78,8/11,-49.63,acc1
79,4/19,31.30,acc1
80,1/24,57.83,acc1
81,6/5,18.55,acc1
82,6/8,95.61,acc1
83,12/19,-3.05,acc1
84,5/19,-81.65,acc1
85,11/1,77.53,acc1
86,4/16,56.65,acc1
87,3/19,54.68,acc1
88,12/6,39.71,acc1
89,2/5,-6.90,acc1
90,7/22,-12.80,acc1
91,6/20,13.89,acc1
92,1/18,-12.95,acc1
93,11/11,5.47,acc1
94,10/14,38.00,acc1
95,2/5,51.17,acc1
96,5/22,4.11,acc1
97,2/23,-20.61,acc1
98,12/15,28.63,acc1
99,4/9,43.80,acc1
100,8/11,-7.28,acc1
101,12/7,9.79,acc1
102,2/18,-11.68,acc1
103,2/5,-6.76,acc1
104,10/2,-82.10,acc1
105,9/4,-77.97,acc1
106,2/11,-67.62,acc1
107,4/12,63.01,acc1
108,1/10,58.39,acc1
109,10/15,-57.26,acc1
110,6/20,-6.45,acc1
111,6/26,72.34,acc1
112,4/23,44.81,acc1
113,6/28,20.25,acc1
114,2/8,-72.15,acc1
115,11/22,94.68,acc1
116,7/19,-77.49,acc1
117,6/24,45.63,acc1
118,2/26,32.00,acc1
119,11/11,-13.70,acc1
120,8/5,-88.92,acc1
121,3/14,16.89,acc1
122,10/25,50.74,acc1
123,7/3,-87.90,acc1
124,3/17,29.21,acc1
125,1/5,6.00,acc1
126,6/12,-13.42,acc1
127,7/2,68.31,acc1
128,11/23,21.52,acc1
129,6/5,44.22,acc1
130,10/1,-22.04,acc1
131,12/1,-84.39,acc1
